landmark,x, y, z
hipCenter,-123.36,-5.18,1383.11
greaterTrochanter,-175.94,-2.93,1381.97
femoralCenter,-115.60,-18.67,938.06
whitesideReference,-113.78,-39.16,954.04
lateralCondyle,-145.21,-16.65,932.33
medialCondyle,-88.75,-3.92,930.01
lateralPosteriorCondyle,-150.81,16.99,955.01
medialPosteriorCondyle,-98.60,27.19,954.67
midfemurCenter,-134.13,-29.77,1166.99
PCLOrigin,-109.62,3.48,963.27
lateralEpicondyle,-163.88,-12.01,959.76
medialSulcus,-74.21,2.54,958.52
medialEpicondyle,-73.29,-3.39,962.21
