landmark,x, y, z
PCLOrigin,-88.74,-98.45,1157.45
femoralCenter,-95.89,-118.24,1137.45
greaterTrochanter,-128.19,-124.89,1530.44
hipCenter,-88.45,-148.20,1529.96
lateralCondyle,-116.79,-110.37,1132.81
lateralEpicondyle,-133.46,-112.48,1156.43
lateralPosteriorCondyle,-122.41,-88.55,1154.54
medialCondyle,-73.79,-105.21,1130.45
medialEpicondyle,-57.48,-105.89,1154.41
medialPosteriorCondyle,-76.83,-78.79,1152.19
medialSulcus,-59.73,-100.50,1152.03
midfemurCenter,-104.23,-145.85,1341.43
whitesideReference,-91.64,-135.88,1152.98
