landmark,x, y, z
PCLOrigin,89.82,-111.35,-607.05
femoralCenter,104.60,-133.51,-633.61
greaterTrochanter,151.36,-141.55,-172.70
hipCenter,91.66,-152.08,-177.08
lateralCondyle,130.24,-123.85,-638.69
lateralEpicondyle,144.29,-120.23,-610.65
lateralPosteriorCondyle,128.79,-90.52,-615.80
medialCondyle,75.45,-123.91,-643.19
medialEpicondyle,57.09,-125.59,-615.58
medialPosteriorCondyle,75.77,-89.19,-617.84
medialSulcus,58.01,-119.08,-619.06
midfemurCenter,124.94,-155.26,-396.96
whitesideReference,104.89,-155.84,-620.57
