landmark,x, y, z
PCLOrigin,-72.78,15.05,1250.72
femoralCenter,-85.80,-6.61,1227.99
greaterTrochanter,-143.04,23.61,1674.37
hipCenter,-87.94,12.91,1664.23
lateralCondyle,-110.71,4.47,1221.90
lateralEpicondyle,-125.76,7.97,1247.18
lateralPosteriorCondyle,-107.65,33.21,1244.60
medialCondyle,-59.79,0.36,1220.01
medialEpicondyle,-42.33,-3.14,1248.51
medialPosteriorCondyle,-56.43,31.65,1244.21
medialSulcus,-43.05,3.98,1244.84
midfemurCenter,-112.86,-12.50,1453.99
whitesideReference,-87.80,-26.04,1244.27
