landmark,x, y, z
PCLOrigin,93.12,-110.05,998.02
femoralCenter,106.68,-129.13,974.66
greaterTrochanter,140.30,-123.31,1413.71
hipCenter,84.54,-143.30,1407.47
lateralCondyle,127.25,-120.73,968.67
lateralEpicondyle,145.70,-112.43,998.08
lateralPosteriorCondyle,128.13,-89.06,991.30
medialCondyle,77.28,-122.89,965.66
medialEpicondyle,58.21,-126.78,993.59
medialPosteriorCondyle,74.67,-90.54,989.64
medialSulcus,58.67,-120.05,990.80
midfemurCenter,116.28,-144.05,1197.64
whitesideReference,108.67,-146.56,986.21
