landmark,x, y, z
hipCenter,100.45,-4.38,1473.25
greaterTrochanter,147.21,17.00,1486.54
femoralCenter,134.17,-22.04,1054.08
whitesideReference,135.83,-45.36,1070.27
lateralCondyle,154.50,-13.86,1049.01
medialCondyle,107.65,-17.06,1045.99
lateralPosteriorCondyle,152.07,17.91,1069.99
medialPosteriorCondyle,107.31,15.19,1070.64
midfemurCenter,140.35,-17.56,1270.99
PCLOrigin,120.63,-0.79,1077.36
lateralEpicondyle,170.56,-4.26,1072.43
medialSulcus,90.65,-12.16,1070.40
medialEpicondyle,89.09,-20.00,1074.01
