landmark,x, y, z
PCLOrigin,-97.32,25.22,-583.58
femoralCenter,-109.70,1.97,-607.38
greaterTrochanter,-161.14,40.54,-147.64
hipCenter,-100.46,9.87,-148.73
lateralCondyle,-133.38,17.20,-615.63
lateralEpicondyle,-152.66,23.45,-583.97
lateralPosteriorCondyle,-127.63,49.37,-590.97
medialCondyle,-80.45,9.27,-618.11
medialEpicondyle,-61.61,6.40,-586.14
medialPosteriorCondyle,-75.82,45.22,-591.08
medialSulcus,-62.78,12.80,-589.92
midfemurCenter,-132.11,0.98,-373.14
whitesideReference,-112.35,-17.77,-591.74
