landmark,x, y, z
PCLOrigin,80.54,-102.64,899.81
femoralCenter,92.63,-119.84,880.50
greaterTrochanter,116.42,-96.81,1272.85
hipCenter,79.70,-123.22,1267.94
lateralCondyle,110.42,-106.48,875.87
lateralEpicondyle,122.43,-98.18,901.30
lateralPosteriorCondyle,104.41,-82.03,892.36
medialCondyle,69.28,-113.65,871.37
medialEpicondyle,52.09,-116.74,893.52
medialPosteriorCondyle,60.91,-90.27,887.35
medialSulcus,52.31,-112.82,890.86
midfemurCenter,100.77,-123.47,1079.88
whitesideReference,94.49,-134.50,893.66
