landmark,x, y, z
hipCenter,-80.78,31.84,1569.29
greaterTrochanter,-124.21,67.25,1584.51
femoralCenter,-155.86,28.97,1149.87
whitesideReference,-163.36,9.87,1168.12
lateralCondyle,-177.35,45.41,1145.48
medialCondyle,-122.59,27.85,1136.19
lateralPosteriorCondyle,-160.09,80.02,1167.34
medialPosteriorCondyle,-106.76,56.26,1159.96
midfemurCenter,-147.72,30.16,1366.49
PCLOrigin,-133.33,45.49,1170.23
lateralEpicondyle,-185.18,60.54,1173.81
medialSulcus,-103.43,24.49,1162.02
medialEpicondyle,-104.56,17.38,1166.35
