landmark,x, y, z
PCLOrigin,-46.03,-87.91,-443.66
femoralCenter,-56.78,-108.72,-467.19
greaterTrochanter,-92.84,-109.27,-25.21
hipCenter,-46.19,-121.80,-28.06
lateralCondyle,-81.59,-106.22,-472.22
lateralEpicondyle,-98.26,-97.13,-443.66
lateralPosteriorCondyle,-82.54,-72.45,-449.50
medialCondyle,-25.17,-100.35,-477.19
medialEpicondyle,-13.73,-99.28,-449.36
medialPosteriorCondyle,-31.17,-68.41,-453.16
medialSulcus,-15.26,-92.86,-452.87
midfemurCenter,-73.55,-131.01,-241.21
whitesideReference,-54.76,-128.12,-454.83
