landmark,x, y, z
hipCenter,-60.99,-121.05,-176.36
greaterTrochanter,-99.12,-106.74,-169.02
femoralCenter,-52.91,-121.30,-588.20
whitesideReference,-54.37,-146.12,-560.98
lateralCondyle,-72.66,-118.12,-598.77
medialCondyle,-31.85,-111.27,-597.43
lateralPosteriorCondyle,-77.20,-94.55,-576.95
medialPosteriorCondyle,-37.69,-88.81,-575.46
midfemurCenter,-76.54,-135.11,-379.20
PCLOrigin,-49.70,-98.94,-569.02
lateralEpicondyle,-90.80,-119.05,-569.17
medialSulcus,-19.12,-104.08,-571.55
medialEpicondyle,-17.22,-109.59,-569.15
