landmark,x, y, z
PCLOrigin,-104.07,-1.25,1128.01
femoralCenter,-109.02,-25.96,1108.13
greaterTrochanter,-149.79,-16.56,1508.11
hipCenter,-105.50,-25.82,1501.28
lateralCondyle,-131.89,-20.76,1101.51
lateralEpicondyle,-150.42,-15.19,1125.08
lateralPosteriorCondyle,-136.02,7.52,1120.75
medialCondyle,-82.96,-10.76,1097.50
medialEpicondyle,-69.14,-7.60,1124.14
medialPosteriorCondyle,-96.76,16.93,1116.81
medialSulcus,-72.78,-1.83,1120.70
midfemurCenter,-127.34,-35.40,1309.49
whitesideReference,-106.20,-43.03,1120.92
