landmark,x, y, z
PCLOrigin,-94.46,7.62,1236.60
femoralCenter,-100.57,-18.84,1217.50
greaterTrochanter,-136.17,-20.26,1635.49
hipCenter,-88.23,-18.05,1634.23
lateralCondyle,-124.38,-10.27,1212.51
lateralEpicondyle,-140.44,-11.90,1236.73
lateralPosteriorCondyle,-129.56,17.63,1232.36
medialCondyle,-83.82,-1.46,1209.51
medialEpicondyle,-61.11,0.40,1236.32
medialPosteriorCondyle,-81.10,28.21,1229.24
medialSulcus,-63.23,5.24,1233.11
midfemurCenter,-112.18,-23.04,1433.49
whitesideReference,-96.30,-35.11,1229.88
