landmark,x, y, z
PCLOrigin,-89.78,0.84,1334.17
femoralCenter,-96.97,-21.15,1309.56
greaterTrochanter,-153.56,-20.83,1761.51
hipCenter,-98.68,-34.10,1763.18
lateralCondyle,-117.71,-13.67,1303.70
lateralEpicondyle,-141.14,-7.30,1331.05
lateralPosteriorCondyle,-122.20,21.58,1326.13
medialCondyle,-69.67,-7.40,1300.51
medialEpicondyle,-50.62,-9.36,1333.05
medialPosteriorCondyle,-71.76,24.97,1326.14
medialSulcus,-52.54,-4.01,1329.35
midfemurCenter,-119.57,-41.10,1544.49
whitesideReference,-95.99,-42.46,1328.02
