landmark,x, y, z
PCLOrigin,-84.98,196.44,-523.97
femoralCenter,-95.73,183.89,-549.33
greaterTrochanter,-128.09,184.21,-151.57
hipCenter,-86.47,172.06,-147.56
lateralCondyle,-115.31,190.41,-552.80
lateralEpicondyle,-129.75,191.81,-525.27
lateralPosteriorCondyle,-112.33,212.99,-530.84
medialCondyle,-73.12,187.19,-558.57
medialEpicondyle,-55.47,186.64,-531.20
medialPosteriorCondyle,-70.17,212.55,-534.76
medialSulcus,-58.42,191.72,-537.34
midfemurCenter,-103.14,167.03,-352.75
whitesideReference,-96.40,160.17,-524.15
