landmark,x, y, z
PCLOrigin,-114.94,16.13,-504.42
femoralCenter,-121.90,-6.84,-525.20
greaterTrochanter,-144.74,35.21,-100.41
hipCenter,-95.89,15.28,-107.41
lateralCondyle,-147.54,-3.06,-532.60
lateralEpicondyle,-166.23,3.14,-503.52
lateralPosteriorCondyle,-152.99,29.77,-510.39
medialCondyle,-97.44,6.38,-536.36
medialEpicondyle,-74.87,5.15,-504.62
medialPosteriorCondyle,-97.75,39.53,-512.01
medialSulcus,-75.94,14.32,-508.16
midfemurCenter,-131.07,-5.65,-306.39
whitesideReference,-118.01,-25.88,-509.74
