landmark,x, y, z
PCLOrigin,83.08,-123.55,1008.18
femoralCenter,101.17,-136.46,986.38
greaterTrochanter,122.32,-84.97,1394.10
hipCenter,87.09,-123.01,1391.55
lateralCondyle,117.19,-125.61,981.40
lateralEpicondyle,131.59,-116.24,1009.20
lateralPosteriorCondyle,110.82,-96.33,1004.10
medialCondyle,78.82,-140.61,977.40
medialEpicondyle,61.24,-146.38,1004.28
medialPosteriorCondyle,63.39,-110.99,1000.20
medialSulcus,59.63,-139.05,1001.89
midfemurCenter,117.55,-134.26,1196.38
whitesideReference,109.97,-158.02,1005.38
