landmark,x, y, z
PCLOrigin,145.78,144.81,-641.02
femoralCenter,156.88,119.44,-658.87
greaterTrochanter,120.57,152.65,-199.67
hipCenter,81.13,129.00,-209.55
lateralCondyle,186.44,127.67,-665.97
lateralEpicondyle,194.62,134.75,-637.39
lateralPosteriorCondyle,179.95,158.74,-647.18
medialCondyle,129.33,133.79,-674.97
medialEpicondyle,112.14,133.84,-646.05
medialPosteriorCondyle,132.12,165.23,-653.41
medialSulcus,113.43,137.41,-649.19
midfemurCenter,139.49,120.90,-430.99
whitesideReference,151.81,101.26,-643.61
