landmark,x, y, z
hipCenter,-75.01,31.10,-57.57
greaterTrochanter,-124.36,42.17,-58.11
femoralCenter,-68.71,-17.10,-512.63
whitesideReference,-71.04,-36.66,-497.06
lateralCondyle,-91.96,-5.78,-517.61
medialCondyle,-38.89,-12.32,-518.86
lateralPosteriorCondyle,-85.85,25.51,-495.31
medialPosteriorCondyle,-38.50,20.52,-495.58
midfemurCenter,-78.21,-18.19,-415.13
PCLOrigin,-54.99,4.08,-487.16
lateralEpicondyle,-109.41,5.89,-493.28
medialSulcus,-23.85,-9.20,-497.30
medialEpicondyle,-22.74,-16.10,-493.71
