landmark,x, y, z
PCLOrigin,36.25,-96.37,-574.48
femoralCenter,44.82,-116.61,-592.80
greaterTrochanter,132.56,-123.49,-170.06
hipCenter,83.70,-133.63,-175.71
lateralCondyle,65.54,-107.94,-601.78
lateralEpicondyle,83.63,-101.89,-577.61
lateralPosteriorCondyle,63.81,-81.79,-582.41
medialCondyle,23.07,-106.40,-599.79
medialEpicondyle,4.89,-105.51,-572.16
medialPosteriorCondyle,20.72,-78.19,-580.22
medialSulcus,6.62,-98.05,-576.42
midfemurCenter,80.82,-138.31,-377.81
whitesideReference,47.75,-132.73,-579.54
