landmark,x, y, z
hipCenter,-92.09,-28.64,-99.95
greaterTrochanter,-143.07,-11.37,-86.10
femoralCenter,-102.48,-12.28,-498.82
whitesideReference,-106.13,-34.56,-486.31
lateralCondyle,-123.36,-4.13,-504.17
medialCondyle,-77.44,-10.64,-506.06
lateralPosteriorCondyle,-117.83,26.19,-481.36
medialPosteriorCondyle,-71.94,18.86,-483.42
midfemurCenter,-111.43,-26.72,-391.69
PCLOrigin,-87.84,3.34,-476.24
lateralEpicondyle,-138.38,-0.42,-477.31
medialSulcus,-57.85,-7.41,-481.50
medialEpicondyle,-57.81,-13.48,-478.30
