landmark,x, y, z
PCLOrigin,-67.48,13.08,-546.37
femoralCenter,-73.97,-6.83,-565.05
greaterTrochanter,-147.31,-13.92,-181.31
hipCenter,-95.56,-14.02,-171.17
lateralCondyle,-97.40,1.68,-572.76
lateralEpicondyle,-113.34,5.92,-546.95
lateralPosteriorCondyle,-97.26,29.70,-551.41
medialCondyle,-51.10,6.30,-574.31
medialEpicondyle,-36.09,1.77,-546.80
medialPosteriorCondyle,-53.22,31.99,-552.96
medialSulcus,-38.94,8.58,-550.33
midfemurCenter,-91.07,-12.59,-444.32
whitesideReference,-72.30,-25.86,-550.07
