landmark,x, y, z
hipCenter,-99.98,21.55,-170.79
greaterTrochanter,-150.82,29.33,-164.61
femoralCenter,-101.95,-6.30,-567.75
whitesideReference,-100.85,-27.35,-553.11
lateralCondyle,-122.88,-2.95,-572.73
medialCondyle,-78.57,4.18,-575.16
lateralPosteriorCondyle,-128.26,28.31,-553.60
medialPosteriorCondyle,-77.29,32.73,-552.02
midfemurCenter,-110.57,-10.19,-445.26
PCLOrigin,-93.91,12.63,-551.45
lateralEpicondyle,-140.51,5.02,-548.58
medialSulcus,-63.86,10.60,-550.09
medialEpicondyle,-62.72,4.87,-547.41
