landmark,x, y, z
PCLOrigin,-86.49,-12.21,408.89
femoralCenter,-94.86,-30.93,385.67
greaterTrochanter,-161.19,-17.76,810.03
hipCenter,-114.21,-34.87,802.97
lateralCondyle,-114.00,-19.71,379.38
lateralEpicondyle,-133.86,-16.46,405.53
lateralPosteriorCondyle,-117.09,9.31,403.52
medialCondyle,-69.25,-21.94,377.95
medialEpicondyle,-53.33,-24.93,407.84
medialPosteriorCondyle,-69.29,10.25,401.41
medialSulcus,-54.23,-18.67,404.78
midfemurCenter,-122.90,-40.52,599.37
whitesideReference,-97.08,-49.63,399.62
