landmark,x, y, z
PCLOrigin,-123.62,-6.71,-688.31
femoralCenter,-142.71,-25.44,-709.28
greaterTrochanter,-112.41,32.82,-252.99
hipCenter,-80.58,-1.43,-258.06
lateralCondyle,-162.35,-6.57,-712.86
lateralEpicondyle,-174.78,2.73,-682.47
lateralPosteriorCondyle,-152.59,21.75,-693.92
medialCondyle,-111.23,-20.22,-724.70
medialEpicondyle,-93.64,-29.44,-695.58
medialPosteriorCondyle,-101.59,6.28,-701.88
medialSulcus,-92.85,-23.37,-699.51
midfemurCenter,-132.55,-13.66,-471.63
whitesideReference,-147.60,-42.97,-693.05
