landmark,x, y, z
hipCenter,-85.54,0.64,1446.46
greaterTrochanter,-143.50,12.40,1456.36
femoralCenter,-64.56,-18.50,1015.49
whitesideReference,-67.80,-36.42,1028.40
lateralCondyle,-89.58,-8.93,1009.03
medialCondyle,-33.96,-9.22,1005.51
lateralPosteriorCondyle,-83.75,26.25,1034.37
medialPosteriorCondyle,-30.60,25.65,1031.23
midfemurCenter,-97.59,-20.58,1240.49
PCLOrigin,-50.14,4.54,1038.64
lateralEpicondyle,-108.03,3.93,1038.52
medialSulcus,-18.37,-6.07,1033.88
medialEpicondyle,-16.18,-13.07,1036.65
