landmark,x, y, z
PCLOrigin,-56.28,192.84,-623.02
femoralCenter,-66.36,170.95,-645.34
greaterTrochanter,-107.40,187.52,-205.01
hipCenter,-54.74,172.03,-212.35
lateralCondyle,-90.93,180.69,-650.52
lateralEpicondyle,-105.27,185.88,-626.04
lateralPosteriorCondyle,-86.84,209.52,-629.64
medialCondyle,-40.43,178.48,-654.75
medialEpicondyle,-22.19,178.53,-625.30
medialPosteriorCondyle,-39.36,212.06,-630.75
medialSulcus,-24.84,184.70,-628.63
midfemurCenter,-71.42,164.64,-550.25
whitesideReference,-64.30,153.41,-633.87
