landmark,x, y, z
hipCenter,-119.06,17.24,-174.21
greaterTrochanter,-181.51,21.85,-178.14
femoralCenter,-112.12,16.78,-593.17
whitesideReference,-108.46,-3.91,-578.13
lateralCondyle,-136.20,17.03,-598.12
medialCondyle,-87.42,33.40,-603.12
lateralPosteriorCondyle,-151.53,48.91,-576.19
medialPosteriorCondyle,-95.87,68.68,-576.69
midfemurCenter,-135.23,4.07,-376.89
PCLOrigin,-108.98,41.09,-568.45
lateralEpicondyle,-160.57,18.05,-570.36
medialSulcus,-71.31,44.55,-573.20
medialEpicondyle,-69.46,40.27,-570.42
