landmark,x, y, z
PCLOrigin,-111.63,54.12,1036.21
femoralCenter,-120.45,37.13,1017.93
greaterTrochanter,-135.57,51.00,1436.28
hipCenter,-94.05,34.77,1427.24
lateralCondyle,-140.40,41.99,1014.00
lateralEpicondyle,-155.48,46.25,1037.88
lateralPosteriorCondyle,-143.75,68.96,1032.51
medialCondyle,-95.87,47.31,1008.01
medialEpicondyle,-80.69,45.73,1032.67
medialPosteriorCondyle,-98.10,73.83,1028.18
medialSulcus,-82.49,51.77,1029.50
midfemurCenter,-123.25,26.42,1227.99
whitesideReference,-115.12,19.61,1030.53
