landmark,x, y, z
PCLOrigin,-73.12,67.71,1286.97
femoralCenter,-77.51,46.58,1269.06
greaterTrochanter,-127.60,59.73,1665.14
hipCenter,-85.39,60.31,1667.97
lateralCondyle,-95.09,42.84,1264.11
lateralEpicondyle,-116.39,47.95,1285.23
lateralPosteriorCondyle,-108.27,71.42,1285.12
medialCondyle,-61.05,59.35,1261.11
medialEpicondyle,-44.42,66.89,1284.60
medialPosteriorCondyle,-64.72,89.96,1282.89
medialSulcus,-46.82,71.56,1281.18
midfemurCenter,-96.44,40.50,1474.99
whitesideReference,-74.48,29.10,1281.22
