landmark,x, y, z
hipCenter,-86.92,-75.56,1665.84
greaterTrochanter,-132.88,-49.00,1672.97
femoralCenter,-102.57,-61.17,1205.06
whitesideReference,-105.71,-83.02,1218.71
lateralCondyle,-122.84,-50.27,1201.01
medialCondyle,-73.55,-60.22,1196.89
lateralPosteriorCondyle,-120.94,-18.38,1222.26
medialPosteriorCondyle,-64.47,-24.64,1219.79
midfemurCenter,-115.58,-74.38,1441.99
PCLOrigin,-85.01,-41.14,1229.79
lateralEpicondyle,-140.54,-44.80,1228.81
medialSulcus,-54.24,-55.29,1222.95
medialEpicondyle,-54.40,-63.33,1225.95
