landmark,x, y, z
PCLOrigin,-126.75,9.61,1082.24
femoralCenter,-138.36,-10.85,1062.29
greaterTrochanter,-134.49,21.78,1474.94
hipCenter,-87.85,4.12,1466.49
lateralCondyle,-159.75,-2.18,1059.00
lateralEpicondyle,-175.39,1.63,1086.70
lateralPosteriorCondyle,-160.52,25.05,1078.75
medialCondyle,-114.18,-0.68,1050.48
medialEpicondyle,-96.06,0.35,1075.59
medialPosteriorCondyle,-113.83,29.50,1072.64
medialSulcus,-96.67,6.24,1073.17
midfemurCenter,-131.28,-7.65,1271.99
whitesideReference,-135.43,-26.33,1077.46
