landmark,x, y, z
hipCenter,-94.66,-145.16,-52.50
greaterTrochanter,-135.19,-134.20,-42.90
femoralCenter,-115.63,-164.13,-433.51
whitesideReference,-109.39,-182.13,-417.60
lateralCondyle,-137.58,-158.43,-437.80
medialCondyle,-92.89,-150.81,-442.81
lateralPosteriorCondyle,-143.87,-134.04,-420.47
medialPosteriorCondyle,-97.36,-124.28,-423.09
midfemurCenter,-124.00,-168.36,-237.80
PCLOrigin,-108.34,-145.57,-415.16
lateralEpicondyle,-153.60,-158.73,-413.32
medialSulcus,-80.17,-143.54,-419.75
medialEpicondyle,-77.59,-150.17,-416.29
