landmark,x, y, z
PCLOrigin,-113.75,-143.44,-406.73
femoralCenter,-121.03,-164.84,-429.28
greaterTrochanter,-130.79,-142.54,7.76
hipCenter,-82.07,-161.26,2.39
lateralCondyle,-143.81,-160.02,-433.33
lateralEpicondyle,-158.28,-157.72,-408.90
lateralPosteriorCondyle,-148.10,-129.98,-412.67
medialCondyle,-99.87,-150.79,-438.17
medialEpicondyle,-83.26,-149.79,-409.28
medialPosteriorCondyle,-101.11,-122.13,-415.25
medialSulcus,-85.62,-143.54,-412.82
midfemurCenter,-120.09,-170.81,-206.31
whitesideReference,-118.01,-185.43,-417.25
