landmark,x, y, z
hipCenter,-96.14,-23.25,1473.59
greaterTrochanter,-139.57,-11.69,1475.00
femoralCenter,-95.88,12.29,1095.00
whitesideReference,-95.68,-5.95,1107.05
lateralCondyle,-115.57,17.50,1091.01
medialCondyle,-73.21,21.08,1086.01
lateralPosteriorCondyle,-115.83,44.32,1111.00
medialPosteriorCondyle,-71.51,48.88,1109.02
midfemurCenter,-113.26,-11.64,1287.99
PCLOrigin,-85.65,29.83,1114.65
lateralEpicondyle,-131.09,24.85,1112.37
medialSulcus,-57.77,25.59,1109.08
medialEpicondyle,-55.33,18.77,1111.00
