landmark,x, y, z
PCLOrigin,78.76,-143.99,976.49
femoralCenter,93.48,-165.37,953.44
greaterTrochanter,135.80,-110.97,1402.24
hipCenter,81.02,-137.84,1397.22
lateralCondyle,117.88,-150.86,945.49
lateralEpicondyle,131.55,-148.32,973.91
lateralPosteriorCondyle,112.15,-120.34,968.96
medialCondyle,62.76,-156.92,941.48
medialEpicondyle,46.27,-164.13,973.40
medialPosteriorCondyle,59.45,-126.60,965.39
medialSulcus,46.91,-157.33,969.17
midfemurCenter,111.62,-155.03,1181.45
whitesideReference,95.98,-187.38,968.49
