landmark,x, y, z
PCLOrigin,-99.08,25.85,1285.10
femoralCenter,-106.26,3.79,1263.84
greaterTrochanter,-138.55,6.71,1689.77
hipCenter,-88.00,-8.49,1682.06
lateralCondyle,-129.57,8.38,1259.01
lateralEpicondyle,-148.59,12.03,1284.79
lateralPosteriorCondyle,-136.46,39.44,1280.49
medialCondyle,-80.73,14.67,1255.00
medialEpicondyle,-65.01,16.33,1284.21
medialPosteriorCondyle,-84.83,46.01,1281.02
medialSulcus,-66.68,23.21,1280.32
midfemurCenter,-119.47,-12.23,1479.99
whitesideReference,-104.00,-15.17,1275.97
