landmark,x, y, z
PCLOrigin,-88.58,-24.85,-523.78
femoralCenter,-99.84,-43.62,-546.40
greaterTrochanter,-131.54,-53.92,-130.19
hipCenter,-85.89,-59.93,-126.36
lateralCondyle,-119.42,-38.90,-550.11
lateralEpicondyle,-135.24,-32.06,-524.44
lateralPosteriorCondyle,-122.92,-6.59,-527.86
medialCondyle,-78.11,-33.38,-553.87
medialEpicondyle,-60.08,-36.79,-528.79
medialPosteriorCondyle,-75.09,-5.02,-530.65
medialSulcus,-61.43,-30.06,-531.95
midfemurCenter,-109.21,-61.68,-330.13
whitesideReference,-100.75,-63.61,-534.95
