landmark,x, y, z
PCLOrigin,-118.07,8.38,996.26
femoralCenter,-137.96,-15.17,977.17
greaterTrochanter,-133.18,14.17,1397.03
hipCenter,-84.51,-13.53,1382.39
lateralCondyle,-155.88,-0.19,972.00
lateralEpicondyle,-172.41,3.60,997.90
lateralPosteriorCondyle,-155.64,29.41,992.64
medialCondyle,-105.12,-4.61,965.01
medialEpicondyle,-86.38,-12.82,991.05
medialPosteriorCondyle,-103.52,23.12,988.12
medialSulcus,-87.82,-7.14,987.48
midfemurCenter,-133.04,-15.86,1185.99
whitesideReference,-139.03,-32.97,991.65
