landmark,x, y, z
PCLOrigin,-130.59,69.81,1164.17
femoralCenter,-143.99,48.20,1142.97
greaterTrochanter,-168.31,44.73,1622.51
hipCenter,-111.57,39.73,1608.26
lateralCondyle,-171.27,55.50,1136.51
lateralEpicondyle,-187.82,62.50,1166.47
lateralPosteriorCondyle,-168.26,89.51,1160.33
medialCondyle,-113.60,57.80,1131.66
medialEpicondyle,-94.95,61.02,1159.01
medialPosteriorCondyle,-114.22,93.13,1156.03
medialSulcus,-96.55,66.08,1156.03
midfemurCenter,-146.18,23.57,1383.49
whitesideReference,-141.17,29.22,1154.72
