landmark,x, y, z
hipCenter,-88.70,1.43,-143.94
greaterTrochanter,-138.07,6.96,-137.70
femoralCenter,-93.43,16.24,-480.55
whitesideReference,-90.09,1.22,-469.70
lateralCondyle,-115.75,19.76,-486.01
medialCondyle,-73.33,30.38,-487.64
lateralPosteriorCondyle,-120.17,43.75,-468.35
medialPosteriorCondyle,-79.31,54.18,-467.88
midfemurCenter,-110.08,-4.60,-306.88
PCLOrigin,-89.30,34.79,-463.14
lateralEpicondyle,-129.88,19.37,-466.74
medialSulcus,-61.72,36.59,-465.27
medialEpicondyle,-59.18,31.34,-462.41
