landmark,x, y, z
PCLOrigin,-113.45,185.76,-505.00
femoralCenter,-127.27,170.00,-524.34
greaterTrochanter,-142.02,202.22,-115.02
hipCenter,-92.86,178.51,-117.59
lateralCondyle,-148.30,183.43,-529.33
lateralEpicondyle,-161.79,192.21,-505.44
lateralPosteriorCondyle,-141.28,212.19,-509.51
medialCondyle,-101.67,176.39,-531.83
medialEpicondyle,-85.38,169.80,-505.59
medialPosteriorCondyle,-91.98,202.27,-508.94
medialSulcus,-84.31,174.86,-507.73
midfemurCenter,-140.68,166.83,-311.85
whitesideReference,-131.19,152.90,-514.58
