landmark,x, y, z
PCLOrigin,-72.11,37.64,-580.19
femoralCenter,-82.34,18.48,-604.86
greaterTrochanter,-154.38,2.52,-147.92
hipCenter,-98.91,-17.03,-148.12
lateralCondyle,-104.34,24.91,-608.65
lateralEpicondyle,-121.85,33.02,-578.65
lateralPosteriorCondyle,-106.52,60.76,-583.37
medialCondyle,-51.01,29.87,-615.55
medialEpicondyle,-32.39,23.03,-585.46
medialPosteriorCondyle,-51.54,60.67,-588.33
medialSulcus,-33.69,29.85,-589.29
midfemurCenter,-109.43,-6.28,-368.64
whitesideReference,-82.23,-3.93,-593.00
