landmark,x, y, z
PCLOrigin,-47.80,193.28,-342.73
femoralCenter,-56.55,170.76,-366.69
greaterTrochanter,-112.40,190.94,62.91
hipCenter,-71.03,164.27,74.29
lateralCondyle,-77.39,176.99,-370.77
lateralEpicondyle,-97.46,186.81,-346.14
lateralPosteriorCondyle,-83.03,209.02,-349.88
medialCondyle,-33.66,182.32,-373.88
medialEpicondyle,-13.65,185.70,-343.87
medialPosteriorCondyle,-31.45,215.21,-350.94
medialSulcus,-14.81,191.31,-347.19
midfemurCenter,-77.64,163.93,-143.51
whitesideReference,-54.83,153.78,-355.81
