landmark,x, y, z
PCLOrigin,-105.07,27.43,1113.53
femoralCenter,-112.53,6.34,1091.47
greaterTrochanter,-153.25,13.13,1520.15
hipCenter,-99.51,8.46,1514.44
lateralCondyle,-130.31,13.27,1085.62
lateralEpicondyle,-148.45,12.24,1110.04
lateralPosteriorCondyle,-135.51,40.57,1106.14
medialCondyle,-93.81,23.21,1082.53
medialEpicondyle,-72.26,19.66,1109.24
medialPosteriorCondyle,-94.96,49.50,1105.35
medialSulcus,-75.68,26.58,1106.44
midfemurCenter,-125.94,-7.30,1309.49
whitesideReference,-107.07,-10.42,1104.58
