landmark,x, y, z
PCLOrigin,-61.92,28.28,1120.88
femoralCenter,-70.29,6.93,1098.58
greaterTrochanter,-136.75,-4.11,1506.83
hipCenter,-89.38,-10.65,1513.91
lateralCondyle,-90.07,17.88,1091.51
lateralEpicondyle,-109.37,22.01,1116.58
lateralPosteriorCondyle,-92.17,47.20,1112.43
medialCondyle,-45.75,18.18,1089.51
medialEpicondyle,-29.36,15.39,1117.50
medialPosteriorCondyle,-45.98,49.03,1115.21
medialSulcus,-30.96,23.69,1116.30
midfemurCenter,-96.81,-11.66,1311.49
whitesideReference,-69.59,-11.37,1112.25
