landmark,x, y, z
hipCenter,108.23,174.01,-118.19
greaterTrochanter,159.75,193.03,-114.16
femoralCenter,81.86,191.15,-539.14
whitesideReference,83.22,173.77,-525.69
lateralCondyle,104.97,200.93,-546.38
medialCondyle,58.70,202.96,-547.87
lateralPosteriorCondyle,100.61,228.89,-526.96
medialPosteriorCondyle,56.27,230.31,-526.44
midfemurCenter,111.82,182.60,-322.90
PCLOrigin,72.06,212.21,-519.48
lateralEpicondyle,118.56,208.84,-520.69
medialSulcus,42.90,205.57,-523.72
medialEpicondyle,42.10,199.97,-520.76
