landmark,x, y, z
PCLOrigin,-48.54,-75.74,-564.52
femoralCenter,-54.96,-96.51,-586.68
greaterTrochanter,-120.40,-122.39,-164.95
hipCenter,-77.54,-130.85,-164.23
lateralCondyle,-76.00,-97.17,-592.73
lateralEpicondyle,-92.99,-89.72,-568.84
lateralPosteriorCondyle,-83.04,-65.20,-570.19
medialCondyle,-31.81,-86.60,-593.69
medialEpicondyle,-16.22,-82.18,-565.56
medialPosteriorCondyle,-37.46,-54.17,-569.36
medialSulcus,-19.41,-75.39,-570.18
midfemurCenter,-77.11,-123.29,-367.71
whitesideReference,-51.06,-116.39,-573.17
