landmark,x, y, z
PCLOrigin,-124.24,21.57,1484.51
femoralCenter,-132.34,-0.88,1459.41
greaterTrochanter,-144.53,13.26,1923.74
hipCenter,-91.03,1.73,1914.63
lateralCondyle,-161.53,9.93,1455.13
lateralEpicondyle,-178.55,13.12,1486.21
lateralPosteriorCondyle,-160.03,39.01,1478.14
medialCondyle,-105.93,8.31,1447.22
medialEpicondyle,-85.23,9.56,1477.54
medialPosteriorCondyle,-105.74,41.76,1473.59
medialSulcus,-86.75,14.97,1473.68
midfemurCenter,-132.44,-1.35,1694.99
whitesideReference,-131.62,-22.13,1475.94
