landmark,x, y, z
PCLOrigin,-84.89,150.55,-540.59
femoralCenter,-96.21,132.58,-564.49
greaterTrochanter,-155.66,127.60,-107.62
hipCenter,-96.17,127.51,-107.66
lateralCondyle,-120.82,142.56,-570.49
lateralEpicondyle,-135.82,145.13,-539.47
lateralPosteriorCondyle,-117.18,170.78,-549.42
medialCondyle,-69.34,138.63,-575.49
medialEpicondyle,-52.45,134.04,-546.28
medialPosteriorCondyle,-68.76,168.57,-551.94
medialSulcus,-53.20,141.54,-550.03
midfemurCenter,-112.28,118.09,-329.51
whitesideReference,-97.13,112.22,-552.16
