landmark,x, y, z
PCLOrigin,-71.53,-124.66,1215.30
femoralCenter,-73.70,-146.54,1195.62
greaterTrochanter,-140.95,-143.47,1616.65
hipCenter,-94.21,-160.41,1617.50
lateralCondyle,-100.86,-142.63,1188.67
lateralEpicondyle,-119.69,-138.63,1214.30
lateralPosteriorCondyle,-106.25,-113.43,1209.51
medialCondyle,-50.18,-131.24,1187.66
medialEpicondyle,-34.50,-131.21,1216.98
medialPosteriorCondyle,-56.66,-101.88,1210.33
medialSulcus,-36.99,-124.76,1213.67
midfemurCenter,-102.51,-161.24,1413.64
whitesideReference,-71.22,-167.02,1211.69
