landmark,x, y, z
hipCenter,-81.41,28.42,1594.48
greaterTrochanter,-127.38,50.53,1598.28
femoralCenter,-113.86,20.64,1144.51
whitesideReference,-113.76,7.48,1152.99
lateralCondyle,-138.48,29.80,1141.27
medialCondyle,-84.65,29.93,1131.50
lateralPosteriorCondyle,-135.87,63.98,1162.52
medialPosteriorCondyle,-78.57,59.23,1154.56
midfemurCenter,-111.91,16.86,1373.49
PCLOrigin,-95.90,41.86,1164.39
lateralEpicondyle,-153.05,39.17,1172.20
medialSulcus,-65.75,29.54,1155.52
medialEpicondyle,-65.03,24.57,1158.90
