landmark,x, y, z
PCLOrigin,-97.93,-4.29,1244.41
femoralCenter,-106.84,-23.44,1223.45
greaterTrochanter,-162.18,-18.20,1642.28
hipCenter,-113.42,-29.25,1631.92
lateralCondyle,-129.84,-13.24,1216.67
lateralEpicondyle,-147.03,-9.59,1243.56
lateralPosteriorCondyle,-129.48,14.20,1238.80
medialCondyle,-80.18,-14.11,1214.50
medialEpicondyle,-64.08,-16.71,1244.31
medialPosteriorCondyle,-84.03,16.21,1237.33
medialSulcus,-66.27,-9.61,1240.55
midfemurCenter,-127.44,-35.18,1433.49
whitesideReference,-106.64,-43.30,1234.97
