landmark,x, y, z
PCLOrigin,-96.55,10.39,1007.24
femoralCenter,-103.26,-15.75,984.51
greaterTrochanter,-168.84,3.11,1438.38
hipCenter,-110.29,-6.17,1448.94
lateralCondyle,-131.26,-4.10,976.50
lateralEpicondyle,-147.76,-6.91,1003.11
lateralPosteriorCondyle,-132.53,24.44,999.62
medialCondyle,-77.34,3.14,973.51
medialEpicondyle,-58.05,0.51,1005.98
medialPosteriorCondyle,-82.58,34.92,995.94
medialSulcus,-59.52,9.89,1001.03
midfemurCenter,-129.11,-20.70,1223.49
whitesideReference,-102.68,-33.12,995.67
