landmark,x, y, z
PCLOrigin,-113.10,47.78,-491.91
femoralCenter,-126.96,28.77,-510.35
greaterTrochanter,-105.61,58.50,-107.86
hipCenter,-68.46,38.78,-114.46
lateralCondyle,-146.11,38.10,-512.87
lateralEpicondyle,-158.66,49.59,-487.27
lateralPosteriorCondyle,-141.19,67.53,-494.49
medialCondyle,-101.81,33.99,-519.12
medialEpicondyle,-86.55,28.39,-492.49
medialPosteriorCondyle,-96.87,61.82,-498.42
medialSulcus,-86.77,33.97,-496.28
midfemurCenter,-123.16,33.51,-310.38
whitesideReference,-128.25,12.04,-499.55
