landmark,x, y, z
PCLOrigin,-80.70,29.12,-497.68
femoralCenter,-93.14,11.56,-521.43
greaterTrochanter,-132.45,36.48,-79.23
hipCenter,-86.84,2.10,-83.56
lateralCondyle,-113.94,19.27,-528.00
lateralEpicondyle,-131.38,27.54,-496.23
lateralPosteriorCondyle,-113.55,51.76,-504.45
medialCondyle,-63.17,17.01,-531.75
medialEpicondyle,-46.81,14.24,-503.72
medialPosteriorCondyle,-60.28,47.13,-507.71
medialSulcus,-47.99,20.24,-506.43
midfemurCenter,-106.17,-0.85,-356.13
whitesideReference,-93.74,-10.73,-506.48
