landmark,x, y, z
hipCenter,-100.76,-18.34,1370.47
greaterTrochanter,-147.50,6.41,1377.80
femoralCenter,-100.01,-18.06,983.60
whitesideReference,-103.88,-37.17,996.64
lateralCondyle,-118.02,-4.03,978.77
medialCondyle,-74.98,-15.57,975.01
lateralPosteriorCondyle,-116.61,22.90,999.50
medialPosteriorCondyle,-65.99,17.02,999.05
midfemurCenter,-121.11,-21.80,1186.99
PCLOrigin,-87.45,-0.36,1004.92
lateralEpicondyle,-136.96,4.32,1005.40
medialSulcus,-56.90,-9.96,1001.51
medialEpicondyle,-56.56,-15.52,1005.01
