landmark,x, y, z
PCLOrigin,-66.67,0.98,1041.83
femoralCenter,-75.12,-20.16,1019.76
greaterTrochanter,-133.28,-12.51,1475.33
hipCenter,-82.46,-32.61,1478.34
lateralCondyle,-98.24,-14.84,1014.02
lateralEpicondyle,-115.62,-3.65,1039.96
lateralPosteriorCondyle,-100.28,17.65,1035.21
medialCondyle,-50.20,-8.49,1012.24
medialEpicondyle,-35.25,-12.11,1040.58
medialPosteriorCondyle,-50.22,20.17,1035.06
medialSulcus,-36.84,-4.17,1036.44
midfemurCenter,-99.44,-29.05,1256.49
whitesideReference,-74.82,-37.54,1032.69
