landmark,x, y, z
PCLOrigin,-96.25,-13.45,998.70
femoralCenter,-103.57,-37.80,975.57
greaterTrochanter,-143.13,-0.49,1400.04
hipCenter,-94.76,-14.14,1408.16
lateralCondyle,-128.95,-25.48,968.13
lateralEpicondyle,-140.73,-30.53,993.64
lateralPosteriorCondyle,-129.80,1.99,989.93
medialCondyle,-78.95,-20.40,965.51
medialEpicondyle,-62.30,-21.17,994.96
medialPosteriorCondyle,-87.75,8.80,988.38
medialSulcus,-64.54,-15.56,991.33
midfemurCenter,-118.64,-32.29,1197.49
whitesideReference,-99.05,-55.23,989.66
