landmark,x, y, z
hipCenter,-79.36,16.83,1807.59
greaterTrochanter,-135.15,31.40,1809.80
femoralCenter,-120.06,0.12,1372.01
whitesideReference,-122.90,-20.50,1389.23
lateralCondyle,-138.86,10.71,1367.02
medialCondyle,-86.82,9.49,1360.38
lateralPosteriorCondyle,-143.60,44.76,1388.71
medialPosteriorCondyle,-82.54,40.37,1386.26
midfemurCenter,-121.05,2.40,1594.99
PCLOrigin,-103.38,22.72,1394.01
lateralEpicondyle,-160.74,17.35,1394.69
medialSulcus,-70.04,9.08,1386.26
medialEpicondyle,-69.06,3.33,1389.06
