landmark,x, y, z
PCLOrigin,-97.85,38.95,1282.39
femoralCenter,-104.19,18.83,1263.62
greaterTrochanter,-134.97,7.78,1653.86
hipCenter,-86.41,9.88,1647.79
lateralCondyle,-124.83,23.80,1258.66
lateralEpicondyle,-140.24,23.74,1282.29
lateralPosteriorCondyle,-130.36,48.10,1278.77
medialCondyle,-85.04,30.55,1255.70
medialEpicondyle,-69.85,31.69,1280.77
medialPosteriorCondyle,-86.97,57.72,1275.68
medialSulcus,-71.97,36.46,1278.11
midfemurCenter,-112.98,3.62,1462.49
whitesideReference,-102.65,2.36,1276.04
