landmark,x, y, z
PCLOrigin,77.95,138.56,-572.78
femoralCenter,87.48,114.47,-592.61
greaterTrochanter,115.19,130.92,-168.50
hipCenter,72.51,115.41,-167.32
lateralCondyle,110.12,119.53,-595.91
lateralEpicondyle,125.37,125.16,-569.72
lateralPosteriorCondyle,111.80,149.38,-575.32
medialCondyle,65.28,127.46,-603.97
medialEpicondyle,46.84,128.63,-578.45
medialPosteriorCondyle,64.70,158.78,-581.83
medialSulcus,49.22,134.96,-581.56
midfemurCenter,89.01,110.47,-374.98
whitesideReference,84.65,96.22,-579.34
