landmark,x, y, z
PCLOrigin,-70.33,-6.60,479.09
femoralCenter,-92.38,-32.42,454.23
greaterTrochanter,-148.04,42.67,921.12
hipCenter,-108.20,-1.11,920.53
lateralCondyle,-116.29,-12.55,446.36
lateralEpicondyle,-134.49,-0.77,479.98
lateralPosteriorCondyle,-102.53,19.62,472.46
medialCondyle,-60.10,-26.10,441.37
medialEpicondyle,-40.71,-36.51,473.31
medialPosteriorCondyle,-49.47,8.34,468.42
medialSulcus,-40.42,-26.60,469.58
midfemurCenter,-125.56,-21.11,696.37
whitesideReference,-101.27,-54.95,473.72
