landmark,x, y, z
hipCenter,87.46,-146.53,-414.46
greaterTrochanter,133.62,-138.83,-414.22
femoralCenter,103.70,-162.32,-818.88
whitesideReference,102.83,-180.82,-803.41
lateralCondyle,124.72,-155.59,-823.35
medialCondyle,77.91,-154.13,-827.52
lateralPosteriorCondyle,125.78,-129.74,-804.14
medialPosteriorCondyle,77.59,-125.88,-808.24
midfemurCenter,115.19,-169.17,-608.51
PCLOrigin,93.02,-145.27,-800.89
lateralEpicondyle,140.96,-152.92,-800.72
medialSulcus,64.10,-147.76,-807.59
medialEpicondyle,61.45,-152.99,-805.01
